date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
1/7/2016 2:00,14,234,148,112,185,37,521,218,224,502,407,267,673,124,243,795,52,358,9,30,13,28,295,1768,191,455,403,385,1420,158,612,252,7952,1013,78,106,221,417,424,263,2788,76,105,7367,1457,7097,816,1918,16,164,199,38,1558,182
1/7/2016 3:00,18,312,192,143,219,60,632,260,257,779,527,362,833,165,296,964,44,616,10,39,17,39,398,3654,244,608,544,330,440,126,784,332,10547,1359,103,140,285,565,551,262,3353,69,108,7221,1443,7474,825,1756,32,123,265,47,2177,253
1/7/2016 4:00,21,312,171,132,193,53,551,259,242,727,513,332,851,158,260,908,40,598,12,36,17,37,404,3142,245,597,528,550,262,126,802,337,10587,1365,102,139,276,563,452,261,3853,67,111,7055,788,7670,345,1646,32,123,278,43,2193,218
1/7/2016 5:00,20,312,149,116,145,54,491,180,173,630,466,263,696,117,208,731,40,526,12,44,18,45,411,949,246,603,553,385,232,126,802,331,10524,1348,103,143,274,564,449,262,3492,69,104,7171,704,7595,240,1609,24,164,271,39,1315,195
1/7/2016 6:00,22,312,170,99,118,44,479,141,141,569,345,229,538,98,187,574,40,488,12,46,19,35,409,891,242,598,543,605,222,126,778,337,10525,1352,105,144,271,567,444,261,3712,68,106,7153,678,7426,237,1645,32,123,267,40,1378,191
1/7/2016 7:00,20,187,190,105,121,44,467,148,148,545,317,210,457,114,179,559,38,403,12,38,19,38,400,892,247,596,570,440,222,132,748,334,10538,1337,104,140,273,550,457,262,3204,77,103,7070,653,7389,248,1668,32,164,269,39,1250,185
1/7/2016 8:00,20,138,176,133,136,57,463,197,161,450,318,238,482,139,220,584,57,432,12,34,18,35,400,929,244,600,547,495,232,171,180,331,10524,1335,101,141,272,545,443,261,3540,76,106,7190,667,6803,257,1638,24,164,265,49,1818,191
1/7/2016 9:00,20,8,163,127,123,73,390,207,163,367,328,237,489,125,205,553,64,407,12,29,19,34,398,940,247,587,527,495,242,132,180,333,10690,1338,101,147,273,551,419,262,3765,66,101,7228,647,7243,234,1853,32,123,630,55,2017,192
1/7/2016 10:00,13,7,169,111,94,44,516,155,128,334,270,198,366,90,143,506,62,439,9,40,20,24,396,1207,235,552,519,495,263,126,180,327,10602,1355,97,152,376,586,413,261,3635,64,73,7002,510,7243,197,1871,32,164,468,40,1261,204
1/7/2016 11:00,11,8,165,126,130,47,521,179,151,385,263,203,403,90,161,572,67,379,10,57,19,31,384,1810,237,559,529,440,397,132,180,326,10567,1351,99,143,457,564,421,262,3414,67,71,6153,491,6807,191,2144,24,123,636,38,1228,190
1/7/2016 12:00,64,13,142,137,169,44,623,218,191,446,276,273,693,104,181,584,39,368,8,61,18,22,378,2359,222,568,521,605,376,145,162,327,10524,1345,96,143,488,574,414,261,3703,59,72,6687,503,7098,187,2130,32,164,655,36,1270,211
1/7/2016 13:00,53,11,142,142,234,52,695,268,217,482,311,317,879,131,177,781,28,354,8,61,19,28,382,2629,227,558,528,495,356,158,168,327,10743,1335,96,147,460,526,407,261,3386,64,69,7061,526,7032,192,2199,24,164,634,38,1440,211
1/7/2016 14:00,26,11,169,137,240,44,609,299,242,521,320,338,952,132,210,933,28,354,10,59,20,31,384,4938,229,564,537,440,366,171,204,330,10852,1331,97,147,513,473,419,262,3627,63,72,7082,507,6785,193,2199,32,205,636,38,1879,196
1/7/2016 15:00,10,13,175,118,186,44,516,230,208,415,274,291,681,105,190,769,28,425,8,52,19,38,380,4142,227,554,543,495,314,120,204,328,10763,1341,99,160,496,454,416,261,3452,62,63,7018,499,6852,203,2236,24,164,633,45,1960,202
